session,monkey,num_neurons,num_training_samples,num_testing_samples,kinematic_axis,bin_width,decoder,rsq,snr
indy_20160407_02,indy,291,320,7777,accx,64,KF_observed,0.17318891951152948,0.8259371181887353
indy_20160407_02,indy,291,320,7777,accx,64,KF_static,0.13161868143585775,0.6128952806858059
indy_20160407_02,indy,291,320,7777,accx,64,KF_dynamic,0.17766568212918954,0.8495158527175342
indy_20160407_02,indy,291,320,7777,accx,64,UKF,0.2557800121848973,1.2829867013652962
indy_20160407_02,indy,291,320,7777,accx,64,rEFH_static,0.35062000106489466,1.875010918816919
indy_20160407_02,indy,291,320,7777,accx,64,rEFH_dynamic,0.3887514217483783,2.1378213802487704
indy_20160407_02,indy,291,320,3888,accx,128,regression,0.11354734629285523,0.5234445553158027
indy_20160407_02,indy,291,320,3888,accx,128,KF_observed,0.2193772942212141,1.0755882065530753
indy_20160407_02,indy,291,320,3888,accx,128,KF_static,0.15960999566365464,0.7551912176749451
indy_20160407_02,indy,291,320,3888,accx,128,KF_dynamic,0.23823977278162,1.1818170632787965
indy_20160407_02,indy,291,320,3888,accx,128,UKF,0.2571114131130994,1.2907631373383905
indy_20160407_02,indy,291,320,3888,accx,128,rEFH_static,0.3912424416297905,2.155556335176035
indy_20160407_02,indy,291,320,3888,accx,128,rEFH_dynamic,0.4195240728408025,2.3621578612127996
indy_20160407_02,indy,291,320,31111,accy,16,regression,0.046913864420865536,0.20867848032952566
indy_20160407_02,indy,291,320,31111,accy,16,KF_observed,0.029029158868592697,0.12793812034192298
indy_20160407_02,indy,291,320,31111,accy,16,KF_static,0.07001915791614244,0.3152599796538107
indy_20160407_02,indy,291,320,31111,accy,16,KF_dynamic,-0.05272051221019791,-0.22313085225284943
indy_20160407_02,indy,291,320,31111,accy,16,UKF,0.20585431299524715,1.0009981840625755
indy_20160407_02,indy,291,320,31111,accy,16,rEFH_static,0.10551861979815202,0.48428695409359757
indy_20160407_02,indy,291,320,31111,accy,16,rEFH_dynamic,0.1851936794604374,0.8894561079017477
indy_20160407_02,indy,291,320,15555,accy,32,regression,0.06424361886031393,0.2883720264869429
indy_20160407_02,indy,291,320,15555,accy,32,KF_observed,0.1177238130512761,0.5439544242840968
indy_20160407_02,indy,291,320,15555,accy,32,KF_static,0.10062776846984389,0.4606052557327599
indy_20160407_02,indy,291,320,15555,accy,32,KF_dynamic,0.1144992868553294,0.5281108471143268
indy_20160407_02,indy,291,320,15555,accy,32,UKF,0.23973765590367424,1.1903651964894557
indy_20160407_02,indy,291,320,15555,accy,32,rEFH_static,0.2814409637897537,1.4353754479201015
indy_20160407_02,indy,291,320,15555,accy,32,rEFH_dynamic,0.3073554157877654,1.594895571784569
indy_20160407_02,indy,291,320,7777,accy,64,regression,0.08637723882286152,0.3923308934067664
indy_20160407_02,indy,291,320,7777,accy,64,KF_observed,0.1756194494754597,0.8387226301061861
indy_20160407_02,indy,291,320,7777,accy,64,KF_static,0.1405167837626382,0.6576259968276782
indy_20160407_02,indy,291,320,7777,accy,64,KF_dynamic,0.1970948506002127,0.9533575674540297
indy_20160407_02,indy,291,320,7777,accy,64,UKF,0.2614898258467425,1.3164351721299155
indy_20160407_02,indy,291,320,7777,accy,64,rEFH_static,0.36143002564521065,1.947915059008589
indy_20160407_02,indy,291,320,7777,accy,64,rEFH_dynamic,0.3857906414323157,2.1168357059672767
indy_20160407_02,indy,291,320,3888,accy,128,regression,0.07546395495176961,0.3407615225993352
indy_20160407_02,indy,291,320,3888,accy,128,KF_observed,0.21493744016016414,1.0509573394179548
indy_20160407_02,indy,291,320,3888,accy,128,KF_static,0.18310742360708843,0.878350506244759
indy_20160407_02,indy,291,320,3888,accy,128,KF_dynamic,0.26133390432010783,1.315518343715301
indy_20160407_02,indy,291,320,3888,accy,128,UKF,0.23921176808266187,1.1873621380577677
indy_20160407_02,indy,291,320,3888,accy,128,rEFH_static,0.3963782982404751,2.1923515460721403
indy_20160407_02,indy,291,320,3888,accy,128,rEFH_dynamic,0.42862484220090735,2.4307864576165334
indy_20160411_01,indy,320,320,39576,posx,16,regression,0.13937997340380337,0.6518855211934272
indy_20160411_01,indy,320,320,39576,posx,16,KF_observed,0.7971216875443864,6.927643762503678
indy_20160411_01,indy,320,320,39576,posx,16,KF_static,0.21122464689645815,1.0304666827267737
indy_20160411_01,indy,320,320,39576,posx,16,KF_dynamic,0.668723046011034,4.798087757194721
indy_20160411_01,indy,320,320,39576,posx,16,UKF,0.845485353446155,8.110303472033777
indy_20160411_01,indy,320,320,39576,posx,16,rEFH_static,0.20984405092215963,1.0228718574756437
indy_20160411_01,indy,320,320,39576,posx,16,rEFH_dynamic,0.7968335261774582,6.9214795699419875
indy_20160411_01,indy,320,320,19788,posx,32,regression,0.2218191470130394,1.0891945914575245
indy_20160411_01,indy,320,320,19788,posx,32,KF_observed,0.8076584738088737,7.159269422373286
indy_20160411_01,indy,320,320,19788,posx,32,KF_static,0.35288103562744144,1.8901587262150992
indy_20160411_01,indy,320,320,19788,posx,32,KF_dynamic,0.7409920945742686,5.866869802030089
indy_20160411_01,indy,320,320,19788,posx,32,UKF,0.8431759630658282,8.04587370810932
indy_20160411_01,indy,320,320,19788,posx,32,rEFH_static,0.4215559547843384,2.377386454060724
indy_20160411_01,indy,320,320,19788,posx,32,rEFH_dynamic,0.8527316316299584,8.31890524831265
indy_20160411_01,indy,320,320,9894,posx,64,regression,0.31914708833227035,1.6694670093698514
indy_20160411_01,indy,320,320,9894,posx,64,KF_observed,0.8177290776121129,7.39282608655631
indy_20160411_01,indy,320,320,9894,posx,64,KF_static,0.47765815611625795,2.820451822045439
indy_20160411_01,indy,320,320,9894,posx,64,KF_dynamic,0.7680547483063097,6.346145137868966
indy_20160411_01,indy,320,320,9894,posx,64,UKF,0.8307523517768822,7.71477357330078
indy_20160411_01,indy,320,320,9894,posx,64,rEFH_static,0.5882600353495699,3.8537697710065904
indy_20160411_01,indy,320,320,9894,posx,64,rEFH_dynamic,0.843329390145078,8.05012466039161
indy_20160411_01,indy,320,320,4947,posx,128,regression,0.4105306158208125,2.2953874634043157
indy_20160411_01,indy,320,320,4947,posx,128,KF_observed,0.8192840572785094,7.430035323834442
indy_20160411_01,indy,320,320,4947,posx,128,KF_static,0.5644799472403907,3.6099184386561456
indy_20160411_01,indy,320,320,4947,posx,128,KF_dynamic,0.7964812169251785,6.913955028549407
indy_20160411_01,indy,320,320,4947,posx,128,UKF,0.8415338801105877,8.000635758303664
indy_20160411_01,indy,320,320,4947,posx,128,rEFH_static,0.7068192741182067,5.328645842298307
indy_20160411_01,indy,320,320,4947,posx,128,rEFH_dynamic,0.8474152777880511,8.164889486302087
indy_20160411_01,indy,320,320,39576,posy,16,regression,0.22854652804501652,1.1269026206039547
indy_20160411_01,indy,320,320,39576,posy,16,KF_observed,0.7194522887764572,5.519932700260749
indy_20160411_01,indy,320,320,39576,posy,16,KF_static,0.35327719715892003,1.8928182596572873
indy_20160411_01,indy,320,320,39576,posy,16,KF_dynamic,0.6842876362088686,5.007084101219642
indy_20160411_01,indy,320,320,39576,posy,16,UKF,0.8371106099178148,7.881072028543162
indy_20160411_01,indy,320,320,39576,posy,16,rEFH_static,0.32256769327573465,1.6913409570805324
indy_20160411_01,indy,320,320,39576,posy,16,rEFH_dynamic,0.8013323229256734,7.018727861873691
indy_20160411_01,indy,320,320,19788,posy,32,regression,0.33942414615823713,1.8007730520551521
indy_20160411_01,indy,320,320,19788,posy,32,KF_observed,0.7544250709200447,6.098159727018915
indy_20160411_01,indy,320,320,19788,posy,32,KF_static,0.454351807917332,2.630872794232611
indy_20160411_01,indy,320,320,19788,posy,32,KF_dynamic,0.7209323687043707,5.542905338622175
indy_20160411_01,indy,320,320,19788,posy,32,UKF,0.8623930433957852,8.613596101524369
indy_20160411_01,indy,320,320,19788,posy,32,rEFH_static,0.539271888039297,3.365552878625131
indy_20160411_01,indy,320,320,19788,posy,32,rEFH_dynamic,0.8517215103720838,8.289218463651766
indy_20160411_01,indy,320,320,9894,posy,64,regression,0.45114444584479607,2.605419365834254
indy_20160411_01,indy,320,320,9894,posy,64,KF_observed,0.7796311929089,6.56849879270969
indy_20160411_01,indy,320,320,9894,posy,64,KF_static,0.538851682503064,3.361593715499607
indy_20160411_01,indy,320,320,9894,posy,64,KF_dynamic,0.7376207808668327,5.810705647734475
indy_20160411_01,indy,320,320,9894,posy,64,UKF,0.8675608276633235,8.779835419847341
indy_20160411_01,indy,320,320,9894,posy,64,rEFH_static,0.6841558259841354,5.005271295851813
indy_20160411_01,indy,320,320,9894,posy,64,rEFH_dynamic,0.8633408965702787,8.643614328508697
indy_20160411_01,indy,320,320,4947,posy,128,regression,0.5307108641177338,3.2855949965708975
indy_20160411_01,indy,320,320,4947,posy,128,KF_observed,0.7908768525689317,6.795978933171908
indy_20160411_01,indy,320,320,4947,posy,128,KF_static,0.6373900428762211,4.405602745247348
indy_20160411_01,indy,320,320,4947,posy,128,KF_dynamic,0.7878485695104318,6.733540355370948
indy_20160411_01,indy,320,320,4947,posy,128,UKF,0.869785831190272,8.853417569269258
indy_20160411_01,indy,320,320,4947,posy,128,rEFH_static,0.7611251976043522,6.218296591981143
indy_20160411_01,indy,320,320,4947,posy,128,rEFH_dynamic,0.8698726561353087,8.856314348621245
indy_20160411_01,indy,320,320,39576,velx,16,regression,0.20520034452499025,0.9974232981755031
indy_20160411_01,indy,320,320,39576,velx,16,KF_observed,0.4483183950854499,2.5831149676963525
indy_20160411_01,indy,320,320,39576,velx,16,KF_static,0.2653592743301736,1.3392499969965452
indy_20160411_01,indy,320,320,39576,velx,16,KF_dynamic,0.22063138812435779,1.0825708887397008
indy_20160411_01,indy,320,320,39576,velx,16,UKF,0.6882005189738839,5.061246120069641
indy_20160411_01,indy,320,320,39576,velx,16,rEFH_static,0.418267646649505,2.352767820141468
indy_20160411_01,indy,320,320,39576,velx,16,rEFH_dynamic,0.6353902538662699,4.381717266971484
indy_20160411_01,indy,320,320,19788,velx,32,regression,0.2918976470681989,1.4990396250695868
indy_20160411_01,indy,320,320,19788,velx,32,KF_observed,0.5253622206844337,3.236376965963816
